engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117e9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11341800,2,1,32768,0.5535,0.564
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11391800,2,1,32768,0.551,0.559
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113e1800,2,1,32768,0.558,0.607
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11431800,2,1,32768,0.551,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11481800,2,1,32768,0.5305,0.577
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114d1800,2,1,32768,0.554,0.557
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11521800,2,1,32768,0.549,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11571800,2,1,32768,0.5455,0.593
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115c1800,2,1,32768,0.5535,0.554
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11611800,2,1,32768,0.55,0.557
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11661800,2,1,32768,0.634,0.709
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116b1800,2,1,32768,0.521,0.549
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11701800,2,1,32768,0.6335,0.708
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11751800,2,1,32768,0.6115,0.686
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117a1800,2,1,32768,0.5155,0.532
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11341900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11391900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113e1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11431900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11481900,2,1,32768,0.236,0.236
