block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id15_time(us),
6,cube0,3164.212891,5695583,0.285000,0.000068,0.406111,0.000096,1.477222,0.000350,0.628333,0.000149,43.256844,1.016667,0.000241,45.025936,0.000000,3104.469971,0.736180,90.126663,90.268890,0.000000,0.000000,0.000000,0.000000,120.031670,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.930664,5695075,2505.828857,0.594221,89.677223,0.021266,2.044487,73.287224,0.017379,79.967102,0.000000,1130.676636,0.268123,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.542778,306.622772,9.651111,0.000000,
7,cube0,3164.178223,5695521,0.285000,0.000068,0.405000,0.000096,1.505000,0.000357,0.641667,0.000152,42.358002,1.100000,0.000261,41.614880,0.000000,3096.824951,0.734367,101.419998,101.562225,0.000000,0.000000,0.000000,0.000000,134.985001,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.915527,5695048,2505.828857,0.594221,90.170555,0.021383,2.033301,68.851669,0.016327,85.118736,0.000000,1130.713379,0.268132,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.561667,306.166656,9.002222,0.000000,
8,cube0,3162.332275,5692198,0.285000,0.000068,0.405000,0.000096,1.535000,0.000364,0.675000,0.000160,40.266251,1.346111,0.000319,34.006382,0.000000,3084.837891,0.731524,115.806664,115.948891,0.000000,0.000000,0.000000,0.000000,153.964996,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.005615,5691610,2505.828857,0.594221,85.942780,0.020380,2.133325,70.158890,0.016637,83.532784,0.000000,1131.024414,0.268206,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.524444,304.199432,5.570000,0.000000,
9,cube0,3162.286621,5692116,0.285000,0.000068,0.405000,0.000096,1.351111,0.000320,0.955556,0.000227,28.443890,1.018889,0.000242,44.927734,0.000000,3094.077148,0.733715,101.976669,102.118889,0.000000,0.000000,0.000000,0.000000,135.559448,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3161.857178,5691343,2505.828857,0.594221,88.073334,0.020885,2.081718,70.863335,0.016804,82.702393,0.000000,1130.545044,0.268092,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.330000,304.244446,8.921667,0.617222,
10,cube0,3162.573975,5692633,0.285000,0.000068,0.405000,0.000096,1.407778,0.000334,1.067222,0.000253,25.467722,1.166111,0.000277,39.255577,0.000000,3086.270020,0.731864,113.470001,113.612221,0.000000,0.000000,0.000000,0.000000,150.818893,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.273438,5692092,2505.828857,0.594221,88.458336,0.020977,2.072658,71.437225,0.016940,82.038002,0.000000,1130.634399,0.268113,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.309444,304.221680,8.337222,0.000000,
