block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
9,cube0,3162.286621,5692116,0.029169,0.025495,0.882021,0.015008,18,0.000096,17,0.000320,13,0.000227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3900.750000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3161.857178,5691343,1.389537,0.043471,0.043951,1.389594,1541,0.020885,395,0.016804,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
10,cube0,3162.573975,5692633,0.029169,0.025495,0.979165,0.015008,18,0.000096,17,0.000334,13,0.000253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4330.375000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.273438,5692092,1.389537,0.043471,0.043951,1.389594,1541,0.020977,395,0.016940,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
11,cube0,3162.658936,5692786,0.029169,0.025495,0.844655,0.015008,18,0.000096,17,0.000343,13,0.000239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3735.500000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.279541,5692103,1.389537,0.043471,0.043979,1.389594,1541,0.020218,395,0.016478,194.500000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
12,cube0,3163.876709,5694978,0.029169,0.025495,0.907996,0.015008,18,0.000096,17,0.000312,13,0.000130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4015.625000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.609375,5694497,1.389537,0.043471,0.043951,1.389594,1541,0.021554,395,0.016210,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
13,cube0,3163.863281,5694954,0.029169,0.025495,0.771620,0.015008,18,0.000096,17,0.000340,13,0.000140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3412.500000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.524414,5694344,1.389537,0.043471,0.043951,1.389594,1541,0.021318,395,0.017561,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
14,cube0,3164.006592,5695212,0.029169,0.025495,0.925067,0.015008,18,0.000096,17,0.000363,13,0.000146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4091.125000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.682861,5694629,1.389537,0.043471,0.043951,1.389594,1541,0.020288,395,0.017183,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
15,cube0,3163.876221,5694977,0.029169,0.025495,0.890217,0.015008,18,0.000096,17,0.000339,13,0.000136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3937.000000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.476074,5694257,1.389537,0.043471,0.043979,1.389594,1541,0.021539,395,0.016486,194.500000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
16,cube0,3163.152832,5693675,0.029169,0.025495,0.924276,0.015008,18,0.000096,17,0.000363,13,0.000513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.625000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.875488,5693176,1.389537,0.043471,0.043951,1.389594,1541,0.021201,395,0.016591,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
17,cube0,3163.052734,5693495,0.029169,0.025495,0.842111,0.015008,18,0.000096,17,0.000347,13,0.000602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3724.250000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.673828,5692813,1.389537,0.043471,0.043951,1.389594,1541,0.021014,395,0.017700,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
18,cube0,3163.205078,5693769,0.029169,0.025495,0.895927,0.015008,18,0.000096,17,0.000351,13,0.000504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3962.250000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.823975,5693083,1.389537,0.043471,0.043951,1.389594,1541,0.020631,395,0.017846,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
19,cube0,3163.127686,5693630,0.029169,0.025495,1.013733,0.015008,18,0.000096,17,0.000390,13,0.000623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4483.250000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.751709,5692953,1.389537,0.043471,0.043951,1.389594,1541,0.021199,395,0.017182,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
