engine,tid,instruction,count,sum_duration_us,avg_duration_ns,max_duration_ns,process_bytes
AIV,SCALAR,MUL_IMM,1031,1.031,1.0,1.0,0
AIC,SCALAR,NEG,1022,1.022,1.0,1.0,0
AIV,SCALAR,SEL,905,0.905,1.0,1.0,0
AIC,MTE2,SET_2D,20,0.86,43.0,43.0,0
AIC,MTE1,MOV_SPR_XN,414,0.828,2.0,2.0,0
AIC,SCALAR,CMPN,648,0.648,1.0,1.0,0
AIV,SCALAR,MIN,477,0.477,1.0,1.0,0
AIV,SCALAR,MAX,477,0.477,1.0,1.0,0
AIC,SCALAR,MOVX8_XD_IMM,374,0.374,1.0,1.0,0
AIV,SCALAR,CMPN,318,0.318,1.0,1.0,0
AIC,SCALAR,MOV_SPR_XN,394,0.314,0.797,1.0,0
AIC,FIXP,BAR,314,0.314,1.0,1.0,0
AIV,SCALAR,MOVX8_XD_IMM,294,0.294,1.0,1.0,0
AIC,SCALAR,MOV_XD_SPR,180,0.18,1.0,1.0,0
AIV,CACHEMISS,0x140e8580,120,0.12,1.0,1.0,0
AIV,CACHEMISS,0x140e8600,120,0.12,1.0,1.0,0
AIV,CACHEMISS,0x140e8980,120,0.12,1.0,1.0,0
AIV,CACHEMISS,0x140e8a00,120,0.12,1.0,1.0,0
AIV,CACHEMISS,0x140e8a80,120,0.12,1.0,1.0,0
AIC,MTE2,MOV_SPR_XN,60,0.12,2.0,2.0,0
AIC,ALL,BAR,80,0.08,1.0,1.0,0
AIV,ALL,BAR,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e6d00,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e6d80,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e6e00,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e7900,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e7980,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e7a00,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e7a80,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e8510,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e8680,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e8900,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140ea380,80,0.08,1.0,1.0,0
AIC,MTE3,SET_CROSS_CORE,40,0.08,2.0,2.0,0
AIV,MTE3,SET_CROSS_CORE,40,0.08,2.0,2.0,0
AIC,FLOWCTRL,DCCI,20,0.06,3.0,3.0,0
AIV,CACHEMISS,0x140ea500,58,0.058,1.0,1.0,0
AIV,CACHEMISS,0x140ea580,58,0.058,1.0,1.0,0
AIV,CACHEMISS,0x140ea600,58,0.058,1.0,1.0,0
AIV,CACHEMISS,0x140ea680,58,0.058,1.0,1.0,0
AIV,CACHEMISS,0x140e9480,43,0.043,1.0,1.0,0
AIV,CACHEMISS,0x140e9500,42,0.042,1.0,1.0,0
AIV,CACHEMISS,0x140e9580,42,0.042,1.0,1.0,0
AIV,CACHEMISS,0x140e9280,41,0.041,1.0,1.0,0
AIV,CACHEMISS,0x140e9400,41,0.041,1.0,1.0,0
AIC,SCALAR,INSERT_XD_XN,40,0.04,1.0,1.0,0
AIC,CACHEMISS,0x140e4000,40,0.04,1.0,1.0,0
AIC,CACHEMISS,0x140e4080,40,0.04,1.0,1.0,0
AIC,CACHEMISS,0x140e4100,40,0.04,1.0,1.0,0
AIC,CACHEMISS,0x140e4180,40,0.04,1.0,1.0,0
AIV,SCALAR,INSERT_XD_XN,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6c9c,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6c80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6e80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6f00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6f80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7000,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7080,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7100,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7180,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7200,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7280,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7300,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7380,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7400,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7480,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7500,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7580,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7600,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7680,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7700,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7780,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7800,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7880,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e84b8,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8500,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8700,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8780,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8800,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8880,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8944,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e925c,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9300,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9380,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9740,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9780,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9800,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9880,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9930,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9980,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9a00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9a80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9b00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9b80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9c00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9c80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9e00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9e80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9f00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9f80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea000,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea080,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea100,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea180,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea200,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea280,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea300,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea340,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea400,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea480,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea714,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea780,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea800,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140ea880,40,0.04,1.0,1.0,0
AIC,FIXP,SET_CROSS_CORE,20,0.04,2.0,2.0,0
AIC,CACHEMISS,0x140e4200,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4280,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4300,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4380,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4400,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4480,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4500,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4580,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4600,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4680,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4700,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4780,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4800,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4880,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4900,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4980,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4a00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4a80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4b00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4b80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4c00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4c80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4d00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4d80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4e00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4e80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4f00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4f80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5000,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5080,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5100,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5180,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5200,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5280,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5300,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5380,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5400,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5480,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5500,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5580,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5600,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5680,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5700,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5780,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5800,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5880,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5900,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5980,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5a00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5a80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5b00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5b80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5c00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5c80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5d00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5d80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5e00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5e80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5f00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5f80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6000,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6080,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6100,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6180,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6200,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6280,20,0.02,1.0,1.0,0
