block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234.702148,4022464,1.418570,1.418622,1.453854,1.418675,1027,0.032206,822,0.049036,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
9,cube0,2229.593262,4013268,5.579411,5.572545,6.634517,1.447146,826,0.021811,825,0.054837,215,0.011606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15700.375000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2229.098389,4012377,1.418570,1.418622,1.453854,1.418675,1027,0.032927,822,0.048734,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
10,cube0,2241.268311,4034283,5.579411,5.572545,6.608371,1.447146,826,0.021811,825,0.056044,215,0.011074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15638.500000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2240.827148,4033489,1.418570,1.418622,1.453854,1.418675,1027,0.035449,822,0.049112,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
11,cube0,2241.560059,4034808,5.579411,5.572545,6.642916,1.447146,826,0.021811,825,0.056993,215,0.010595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15720.250000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2241.080078,4033944,1.418570,1.418622,1.453854,1.418675,1027,0.034468,822,0.048236,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
12,cube0,2243.121094,4037618,5.579411,5.572545,6.548207,1.447146,826,0.021811,825,0.055037,215,0.009626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15496.125000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.726074,4036907,1.418570,1.418622,1.453854,1.418675,1027,0.035134,822,0.051390,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
13,cube0,2247.064941,4044717,5.579411,5.572545,6.563314,1.447146,826,0.021811,825,0.056540,215,0.010185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15531.875000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2246.616699,4043910,1.418570,1.418622,1.453854,1.418675,1027,0.033815,822,0.051956,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
14,cube0,2239.052246,4030294,5.579411,5.572545,6.555021,1.447146,826,0.021811,825,0.054641,215,0.012070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15512.250000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2238.582275,4029448,1.418570,1.418622,1.453854,1.418675,1027,0.038464,822,0.052576,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
15,cube0,2247.750000,4045950,5.579411,5.572545,6.597067,1.447146,826,0.021811,825,0.054901,215,0.011634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15611.750000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2247.256592,4045062,1.418570,1.418622,1.453854,1.418675,1027,0.042120,822,0.052838,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
16,cube0,2229.504883,4013109,5.552261,5.545394,6.600447,1.440121,822,0.021704,821,0.054614,214,0.012005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15619.750000,3408.000000,13123.000000,2.100528,732.000000,0.155103,0.000000,0.000000,3264.000000,0.658929,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2229.072754,4012331,1.411650,1.411703,1.446776,1.411756,1022,0.039457,818,0.052280,3423.750000,3340.875000,NA,NA,NA,NA,NA,NA,NA,NA,3340.750000,0.641508,3340.625000,0.755701,
17,cube0,2231.741699,4017135,5.552261,5.545394,6.586344,1.440121,822,0.021704,821,0.056195,214,0.013030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15586.375000,3408.000000,13123.000000,2.100528,732.000000,0.155103,0.000000,0.000000,3264.000000,0.658929,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2231.257324,4016263,1.411650,1.411703,1.446776,1.411756,1022,0.036402,818,0.052086,3423.750000,3340.875000,NA,NA,NA,NA,NA,NA,NA,NA,3340.750000,0.641508,3340.625000,0.755701,
18,cube0,2242.528809,4036552,5.552261,5.545394,6.583861,1.440121,822,0.021704,821,0.057932,214,0.013313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15580.500000,3408.000000,13123.000000,2.100528,732.000000,0.155103,0.000000,0.000000,3264.000000,0.658929,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.063232,4035714,1.411650,1.411703,1.446776,1.411756,1022,0.040480,818,0.052570,3423.750000,3340.875000,NA,NA,NA,NA,NA,NA,NA,NA,3340.750000,0.641508,3340.625000,0.755701,
19,cube0,2242.540039,4036572,5.552261,5.545394,6.595218,1.440121,822,0.021704,821,0.057513,214,0.012570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15607.375000,3408.000000,13123.000000,2.100528,732.000000,0.155103,0.000000,0.000000,3264.000000,0.658929,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.070068,4035726,1.411650,1.411703,1.446776,1.411756,1022,0.039744,818,0.052826,3423.750000,3340.875000,NA,NA,NA,NA,NA,NA,NA,NA,3340.750000,0.641508,3340.625000,0.755701,
