block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id15_time(us),
6,cube0,2252.492676,4054487,34.052776,0.015094,49.205002,0.021811,125.473335,0.055618,26.687778,0.011830,26.282722,138.121674,0.061224,22.647076,0.000000,2210.918213,0.980017,78.635559,119.199997,0.000000,0.000000,0.000000,0.000000,103.882774,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.066650,4053720,1337.754395,0.592976,86.939445,0.038537,36.825676,115.706108,0.051288,27.669106,0.000000,735.322205,0.325941,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,177.164444,406.317230,0.000000,
7,cube0,2252.962158,4055332,34.052776,0.015094,49.205002,0.021811,128.210556,0.056831,27.733334,0.012293,25.291855,139.989441,0.062052,22.344912,0.000000,2213.729492,0.981263,76.436111,115.349998,0.000000,0.000000,0.000000,0.000000,99.383888,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.536621,4054566,1337.754395,0.592976,77.946663,0.034551,41.074291,116.279999,0.051543,27.532547,0.000000,731.411682,0.324207,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,178.627777,419.635010,0.000000,
8,cube0,2235.187744,4023338,34.052776,0.015094,49.205002,0.021811,127.512222,0.056521,27.530001,0.012203,25.478657,141.854996,0.062879,22.051052,0.000000,2193.605469,0.972343,78.220001,118.472778,0.000000,0.000000,0.000000,0.000000,102.427780,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234.702148,4022464,1337.754395,0.592976,72.657776,0.032206,44.064159,110.625000,0.049036,28.939974,0.000000,728.243347,0.322803,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,178.727219,409.104431,4.542222,
9,cube0,2229.593262,4013268,34.052776,0.015094,49.205002,0.021811,123.713333,0.054837,26.182777,0.011606,26.789650,138.326111,0.061315,22.613604,0.000000,2186.074951,0.969005,80.457779,122.388885,0.000000,0.000000,0.000000,0.000000,106.812225,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2229.098389,4012377,1337.754395,0.592976,74.282219,0.032927,43.100544,109.942780,0.048734,29.119553,0.000000,729.481689,0.323352,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,184.798340,403.183899,0.000000,
10,cube0,2241.268311,4034283,34.052776,0.015094,49.205002,0.021811,126.435555,0.056044,24.982779,0.011074,28.076441,140.836105,0.062427,22.210581,0.000000,2198.859375,0.974672,79.400002,120.537781,0.000000,0.000000,0.000000,0.000000,104.617775,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2240.827148,4033489,1337.754395,0.592976,79.973335,0.035449,40.033394,110.796112,0.049112,28.895279,0.000000,732.658325,0.324760,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,178.070007,407.000549,0.000000,
